code	alternate_title
11-3013.00	["Building Manager","Facilities Coordinator","Facilities Director","Facilities Manager","Facility Coordinator","Maintenance Manager","Maintenance Superintendent","Maintenance Supervisor","Operations Administrator","Operations Supervisor","Property Disposal Manager","Property Disposal Officer","Property Utilization Manager","Space Officer","Unclaimed Property Officer"]
11-3013.01	["Chief Security Officer (CSO)","Corporate Physical Security Supervisor","Corporate Security Director","Corporate Security Manager","Enterprise Services Manager","Internal Security Manager","Museum Security Chief","Physical Security Manager","Safety Manager","Safety System Support Manager","Security Director","Security Infrastructure Manager","Security Management Director","Security Manager","Security Operations Manager","Security Services Manager","Security Supervisor"]
11-3021.00	["Application Development Director","Computer Operations Manager","Computer Programming Manager","Computer Security Manager","Computer Systems Information Director","Computing Services Director","Consulting Technical Director","Cyber Workforce Developer and Manager","Data Center Manager","Data Operations Director","Data Processing Manager","Data Systems Manager","Development Manager","Director of Engineering","Engineering Director","Information Security Manager","Information Services Manager","Information Support Project Manager","Information Systems Administrator","Information Systems Director (IS Director)","Information Systems Manager (IS Manager)","Information Systems Supervisor (IS Supervisor)","Information Technology Account Manager (IT Account Manager)","Information Technology Administrator (IT Administrator)","Information Technology Coordinator (IT Coordinator)","Information Technology Director (IT Director)","Information Technology Manager (IT Manager)","Information Technology Systems Director (ITS Director)","Interactive Media Project Manager","Internet and E-Business Project Manager","Internet Technology Manager","IT Investment\/Portfolio Manager","Knowledge Manager","MIS Director (Management Information Systems Director)","Network Director","Network Manager","Product Support Manager","Programming and Software Development Project Manager","Software Development Director","Software Project Manager","System Development Manager","Systems Development Manager","Systems Engineering Manager","Technical Director","Technical Services Manager","Technical Solutions Director","Technology Director","Product Manager"]
11-3031.00	["Account Manager","Accountant Supervisor","Accounting Director","Accounting Manager","Accounting Supervisor","Accounts Manager","Accounts Supervisor","Actuarial Manager","Asset Manager","ATM Manager (Automated Teller Machine Manager)","Auditing Manager","Auditor Supervisor","Bank Manager","Bank President","Banking Center Manager (BCM)","Banking Manager","Banking Supervisor","Branch Manager","Budget Manager","Cash Manager","City Comptroller","City Treasurer","Collections Manager","Comptroller","Cost Accounting Manager","Credit Administration Manager","Credit and Collection Manager","Credit Department Manager","Credit Manager","Credit Office Manager","Credit Union Manager","District Manager","Exchange Floor Manager","Field Supervisor","Finance Director","Finance Manager","Financial Center Manager","Financial Director","Financial Institution Assistant Branch Manager","Financial Institution Branch Manager","Financial Institution Manager","Financial Manager","Financial Supervisor","Fiscal Manager","International Bank Manager","Investment Manager","Loan and Credit Manager","Loan Manager","Paymaster","Regional Manager","Reimbursement Director","Relationship Manager","Residential Mortgage Manager","Risk and Insurance Manager","Risk Management Director","Service Center Manager","Tax Director","Tax Manager"]
11-3031.01	["City Comptroller","City Controller","City Treasurer","Comptroller","Controller","Corporate Controller","Corporate Treasurer","Cost Controller","County Treasurer","Financial Controller","Financial Engineer","Financial Institution Treasurer","Financial Officer","Financier","Plant Controller","Production Controller","Regional Controller","School Treasurer","State Comptroller","Treasurer","Treasury Consultant","Trust Officer"]
11-3031.03	["Asset Manager","Assistant Vice President, Investment Analysis","Financial Planning Manager","Fixed Income Portfolio Manager","Hedge Fund Manager","Institutional Asset Manager","Investment Fund Manager","Investments Manager","Lead Portfolio Manager","Mutual Fund Manager","Pension Fund Manager","Portfolio Manager","Senior Portfolio Manager","Vice President and Portfolio Manager","Vice President, Fixed Income"]
11-3051.00	["Area Plant Manager","Branch Manager","Brewing Director","Bulk Plant Manager","Car Construction Superintendent","Concrete Mixing Plant Superintendent","Correctional Facility Industries Superintendent","Demand Planner","Dental Laboratory Manager","Factory Manager","Factory Superintendent","Food Processing Plant Manager","Food Production Manager","Gas Operation Manager","Gas Operations Superintendent","General Milling Superintendent","General Production Manager","General Supervisor","Industrial Production Manager","Maintenance Planner","Manufacturing Coordinator","Manufacturing Director","Manufacturing Manager","Manufacturing Planner","Materials Coordinator","Materials Planner","Plant Chief","Plant General Manager","Plant Manager","Plant Superintendent","Product Line Manager","Production Control Manager","Production Control Supervisor","Production Foreman","Production Manager","Production Managing Supervisor","Production Superintendent","Quality Assurance Manager (QA Manager)","Quality Assurance Supervisor (QA Supervisor)","Quality Control Manager (QC Manager)","Quality Manager","Quality Supervisor","Sawmill Manager","Sub Plant Manager","Tablet and Capsule Manufacturing Department Manager"]
11-3051.01	["Associate Director, QA","Director of Quality","Quality Assurance Coordinator","Quality Assurance Director","Quality Assurance Manager (QA Manager)","Quality Assurance Supervisor (QA Supervisor)","Quality Control Director","Quality Control Manager (QC Manager)","Quality Control Microbiology Supervisor","Quality Control Supervisor (QC Supervisor)","Quality Control Systems Manager","Quality Director","Quality Manager","Quality Supervisor"]
11-3051.02	["Decommissioning Well Site Manager","Geothermal Operations Manager","Geothermal Plant Manager","Geothermal Product Manager","Geothermal Production Manager","Industrial Production Manager","Mitigation Supervisor","Plant Manager","Plant Operations Coordinator","Plant Superintendent","Plant Supervisor","Power Plant Operations Manager","Production Control Manager"]
11-3051.03	["Biodiesel Operations Manager","Biodiesel Plant Manager","Biodiesel Plant Superintendent","Biofuels Operations Manager","Biofuels Plant Manager","Biofuels Plant Superintendent","Biofuels Production Manager","Ethanol Operations Manager","Industrial Manager","Industrial Production Manager","Manufacturing Manager","Plant Manager","Plant Operations Coordinator","Power Resources Manager","Production Coordinator","Production Manager","Production Plant Manager","Renewables Project Manager"]
11-3051.04	["Biomass Plant Manager","Biomass Power Plant Manager","Biomass Power Plant Superintendent","Biomass Production Manager","Demand Generator Manager","Fuel Manager","Maintenance Manager","Maintenance Superintendent","Maintenance Supervisor","Operations and Maintenance Manager (O&M Manager)","Operations Manager","Operations Superintendent","Operations Supervisor","Plant Manager","Utilities Superintendent"]
11-3051.06	["Demand Generation Manager","Generation Manager","Hydro Generation Manager (Hydroelectric Generation Manager)","Hydro Generation Supervisor (Hydroelectric Generation Supervisor)","Hydro Plant Site Manager (Hydroelectric Plant Site Manager)","Hydro Station Supervisor (Hydroelectric Station Supervisor)","Hydroelectric Production Manager","Hydroelectric Station Chief","Plant Manager","Power Plant Superintendent","Power Plant Supervisor","Power Project Manager","Production Manager","Renewables Project Manager","Water Utility Plant Manager"]
11-3061.00	["Category Purchasing Manager","Commissary Superintendent","Commodity Manager","Contract Administrator","Contract Coordinator","Contract Manager","Contracting Manager","Division Merchandise Manager (DMM)","General Merchandise Manager","Import Coordinator","Material Manager","Materials Director","Materials Manager","Merchandise Director","Merchandise Executive","Merchandise Manager","Merchandising Manager","Procurement Director","Procurement Manager","Procurement Services Manager","Purchasing Coordinator","Purchasing Director","Purchasing Manager","Purchasing Supervisor","Sourcing Manager","Strategic Sourcing Director","Strategic Sourcing Manager","Subcontract Administrator","Vendor Manager"]
11-3071.00	["Aerial Planting and Cultivation Manager","Air Export Logistics Manager","Airport Manager","Ammunition Storage Superintendent","Auto Fleet Manager","Automotive Services Manager","Bridges Supervisor","Building Supervisor","Bulk Plant Manager","Bus Transportation Manager","Canal Superintendent","Car Inspection and Repair Manager","Cargo and Ramp Services Manager","Chief Wharfinger","Cold Storage Supervisor","Communications and Signals Supervisor","Compressor Stations Superintendent","Contract Manager","Corporate Logistics Manager","Corporate Traffic Manager","Customer Logistics Manager","Delivery Manager","Dispatch Manager","Distribution Center Manager","Distribution Center Operations Manager","Distribution Center Supervisor","Distribution Coordinator","Distribution Manager","Distribution Superintendent","Division Road Supervisor","Division Roadmaster","Dock Superintendent","Dockmaster","Fleet Manager","Flight Control Manager","Flight Operations Manager","Flight Reservations Manager","Flight Superintendent","Freight Coordinator","General Car Yard Supervisor","General Road Foreman","General Road Supervisor","Global Logistics Manager","Global Transportation Manager","Harbor Department Manager","Import Coordinator","Import Export Manager","Import Manager","Integrated Logistics Programs Director","Integrated Logistics Support Manager (ILS Manager)","International Logistics Manager","Inventory Control Manager","Load Out Supervisor","Logistics Analytics Manager","Logistics and Planning Manager","Logistics Coordinator","Logistics Director","Logistics Management Specialist","Logistics Manager","Logistics Operations Director","Logistics Operations Manager","Logistics Solution Manager","Logistics Supervisor","Logistics Team Leader","Logistics Vice President","Marine Oil Terminal Superintendent","Marine Superintendent","Measurement Superintendent","Operations Director","Pipelines Superintendent","Port Traffic Manager","Print Traffic Manager","Railroad Car Inspection and Repair Regional Superintendent","Receiving Manager","Schedule Planning Manager","Service Delivery Manager","Sewer System Supervisor","Shipping Coordinator","Shipping Manager","Shipping Receiving Manager","Shipping Supervisor","Station Manager","Station Master","Station Supervisor","Stations Superintendent","Storage Manager","Substation Manager","Supply Chain Logistics Manager","Telegraph Office Manager","Terminal Manager","Terminal Operations Supervisor","Terminal Superintendent","Traffic Director","Traffic Manager","Traffic Superintendent","Traffic Supervisor","Train Master","Train Operations Manager","Train Operations Supervisor","Trainmaster","Transportation Coordinator","Transportation Director","Transportation Maintenance Supervisor","Transportation Manager","Transportation Program Director","Transportation Superintendent","Transportation Supervisor","Truck Terminal Manager","Warehouse Foreman","Warehouse Manager","Warehouse Operations Manager","Warehouse Supervisor","Water and Sewer Systems Superintendent","Waterworks Supervisor","Wharfinger","Wharfmaster"]
11-3071.04	["Demand Planning Manager","Global Supply Chain Director","Material Requirements Planning Manager","Materials Manager","Materials Planner","Solution Design and Analysis Manager","Supply Chain Design Manager","Supply Chain Development Manager","Supply Chain Director","Supply Chain Manager","Supply Chain Operations Manager","Supply Chain Procurement Manager","Supply Chain Program Manager","Supply Chain Systems Manager"]
11-3111.00	["Benefit Director","Benefits Administrator","Benefits Advisor","Benefits Coordinator","Benefits Director","Benefits Manager","Compensation and Benefits Manager","Compensation Director","Compensation Manager","Employee Benefits Coordinator","Employee Benefits Director","Employee Benefits Manager","Field Reimbursement Manager","Job Analysis Manager","Payroll Manager","Personnel Manager","Position Classification Manager","Reimbursement Manager","Wage and Salary Administrator"]
11-3121.00	["Diversity Manager","Efficiency Manager","Employee Relations Manager","Employee Welfare Manager","Employment Manager","Human Resources Administration Director","Human Resources Administrator (HR Administrator)","Human Resources Coordinator (HR Coordinator)","Human Resources Department Supervisor","Human Resources Director (HR Director)","Human Resources Manager (HR Manager)","Human Resources Operations Manager","Human Services Manager","Industrial Relations Director","Industrial Relations Manager","Job Analysis Manager","Labor Relations Director","Labor Relations Manager","Merit System Director","Personnel Administrator","Personnel Director","Personnel Generalist Manager","Personnel Manager","Placement Director","Position Classification Manager","Position Description Manager","Recruiting Manager","Recruitment Director","Recruitment Manager","Staffing Manager","Talent Acquisition Manager"]
11-3131.00	["Development Coordinator","Development Director","Development Manager","E-Learning Manager","Education and Development Manager","Education and Training Manager","Education Director","Employee Development Director","Employee Development Manager","Human Resources Trainer","Knowledge Manager","Labor Training Manager","Learning and Development Director","Learning Director","Learning Manager","Manpower Development Manager","Sales Training Manager","Staff Development Coordinator","Staff Development Director","Staff Training and Development Manager","Training and Development Coordinator","Training and Development Director","Training Development Director","Training Director","Training Manager","Workforce Development Program Director"]
11-9013.00	["Accredited Farm Manager (AFM)","Agricultural Crop Farm Manager","Agriculture Manager","Animal Husbandry Manager","Annual Greenhouse Manager","Aquaculture Cooperative Marketing Director","Aquaculture Director","Aquaculture Farm Manager","Aquaculture Program Director","Barn and Property Manager","Christmas Tree Farm Manager","Crop or Livestock Tenant Farmer","Crop, Grain, or Livestock Farm Manager","Facility Operations Manager","Farm Facility Manager","Farm Field Manager","Farm Manager","Farm Operations Manager","Farm Operations Technical Director","Feedlot Manager","Field Manager","Fish Hatchery Manager","Fruit or Nut Crops Farm Manager","Game Breeding Farm Manager","Garden Center Manager","General Farm Manager","Germination Testing Manager","Greenhouse Manager","Greenhouse Project Manager","Harvesting Manager","Hatchery Manager","Hatchery Supervisor","Horticultural Farm Manager","Horticultural Manager","Horticulture Superintendent","Livestock Farm Manager","Nursery Manager","Perennial House Manager","Pineapple Plantation Manager","Plant Culture Manager","Plant Health Manager","Poultry Barn Manager","Poultry Hatchery Manager","Producer Arborist Manager","Production Superintendent","Propagation Manager","Ranch Manager","Range Manager","Seed Cleaning Manager","Seed Corn Production Manager","Shellfish Manager","Sow Farm Manager","Sugar Plantation Manager"]
11-9021.00	["Bridges and Buildings Supervisor","Commercial Construction Superintendent","Concrete Foreman","Construction Area Manager","Construction Coordinator","Construction Director","Construction Foreman","Construction Manager","Construction Project Manager","Construction Services Manager","Construction Superintendent","Drilling and Production Superintendent","Energy Efficient Site Manager","Environmental Construction Program Manager","General Superintendent","Job Superintendent","Maintenance of Way Superintendent","Masonry Contractor Administrator","Mine Superintendent","Mine Supervisor","Railroad Construction Director","Site Manager","Site Supervising Technical Operator","Solar Commercial Installation Electrician Manager","Street Supervisor","Utility Division Project Manager","Weatherization Operations Manager"]
11-9031.00	["Art Coordinator","Assessment Coordinator","Center Administrator","Child Care Center Administrator","Child Care Center Director","Child Care Director","Childcare Center Administrator","Childcare Center Director","Childcare Director","Day Care Center Director","Daycare Manager","Early Childhood Program Supervisor (ECP Supervisor)","Early Head Start Director","Education Coordinator","Education Director","Education Site Manager","Educational Program Director","Head Start Director","Montessori Program Director","Onsite Coordinator","Pre-School Director","Prekindergarten Program Coordinator","Preschool Director","Preschool Program Director","Principal","School Director","Site Coordinator","Site Director","Special Education Director","Testing Director","Vice Principal"]
11-9032.00	["Admissions Director","Assessment Coordinator","Athletic Coordinator","Athletic Director","Athletics Director","Commission for the Blind Director","Curriculum and Instruction Assistant Superintendent","Dean","Education Supervisor","Educational Program Director","Elementary Principal","Elementary School Principal","Headmaster","High School Assistant Principal","High School Principal","Junior High School Principal","K-12 Principal (Kindergarten Through Twelfth Grade Principal)","K-12 School Principal (Kindergarten Through Eighth Grade School Principal)","K-12 School Principal (Kindergarten Through Twelfth Grade School Principal)","Middle School Principal","Mother Superior","Physical Education Director","Principal","Pupil Personnel Program Director","Pupil Personnel Services Director","School Administrator","School Business Manager","School Coordinator","School Principal","School Superintendent","Secondary School Principal","Site Administrator","Special Education Administrator","Special Education Director","Special Education Superintendent","Special Programs Director","Special Services Director","Student Dean","Student Services Director","Superintendent","Testing Director","Title I Director","Vice Principal"]
11-9033.00	["Academic Affairs Dean","Academic Affairs Director","Academic Affairs Vice President","Academic Coordinator","Academic Dean","Academic Vice President","Administration Dean","Admissions Coordinator","Admissions Dean","Admissions Director","Adult Basic Education Manager","Arts and Sciences Dean","Business Dean","Campus Coordinator","Campus Dean","Campus Director","Chancellor","College Administrator","College Dean","College of Education Dean","College or University Registrar","College President","Commandant","Continuing Education Dean","Continuing Education Director","Dean","Division Director","Education Dean","Education Director","Enrollment Coordinator","Enrollment Management Vice President","Enrollment Services Dean","Enrollment Services Vice President","Extension Division Director","Extension Work Director","Faculty Dean","Financial Aid Director","Graduate School Dean","Graduate Studies Dean","Health Sciences Dean","Higher Education Administrator","Institutional Research Director","Instruction Dean","Instruction Vice President","Physical Education Director","Provost","Registrar","Research Director","School of Nursing Director","Student Activities Director","Student Affairs Dean","Student Affairs Director","Student Affairs Vice President","Student Dean","Student Development Dean","Student Financial Aid Director","Student Life Dean","Student Services Dean","Student Services Director","Student Services Vice President","Students Dean","Summer Sessions Director","Testing Director","University Administrator","University Dean","University President"]
11-9039.00	["Apprenticeship Consultant","Apprenticeship Representative","Area Supervisor","Attache","Community Health Nursing Educational Director","Correctional Institution Education Supervisor","Director of Extension Work","Director of Health Education","Director of in Service Education","Director of Professional Services","Director of Research","Director of Research and Development","Director of Vocational Training","Division Chief","Education Director","Education Supervisor","Educational Director","Extension Course Coordinator","Extension Work Director","Field Director","Grant Manager","Grants Administrator","Health Education Director","Library Director","School Supervisor","Special Education Administrator","Testing Director"]
11-9041.00	["Architect Manager","Architectural Project Manager","Civil Engineering Manager","Electrical Engineering Director","Electrical Engineering Manager","Electronics Engineering Manager","Engineering Design Manager","Engineering Director","Engineering Group Manager","Engineering Program Manager","Engineering Project Manager","Engineering Research Manager","Engineering Supervisor","Environmental Engineering Manager","Global Engineering Manager","Mechanical Engineering Director","Mechanical Engineering Manager","Process Engineering Manager","Product Development Director","Project Coordinator","Project Engineering Manager","Project Manager","Prototype Engineer Manager","Research and Development Manager (R&D Manager)","Research Development Manager","Research Manager","Transmitter Engineer-in-Charge"]
11-9041.01	["Analytical Research Program Manager","Biodiesel Division Manager","Biodiesel Engineering Manager","Biodiesel Product Development Manager","Biodiesel Product Manager","Biodiesel Technology Development Manager","Biodiesel Technology Manager","Biofuels Engineering Manager","Biofuels Manager","Biofuels Product Development Manager","Biofuels Product Manager","Biofuels Technology Development Manager","Biofuels Technology Manager","Fermentation Manager","Laboratory Manager (Lab Manager)","Manager of Business Development and New Technology","Project Development Director","Technology Development Owner"]
11-9051.00	["Banquet Director","Banquet Manager","Boarding House Manager","Cafe Operator","Cafeteria Director","Cafeteria Manager","Cafeteria Operator","Catering Coordinator","Catering Director","Catering Manager","Chef Manager","Club Manager","Clubhouse Manager","Concessionaire","Cook Manager","Deli Manager","Dining Services Director","Fast Food Services Manager","Flight Kitchen Manager","Food and Beverage Director","Food and Beverage Manager","Food General Manager","Food Production Manager","Food Service Director","Food Service General Manager","Food Service Manager","Food Service Supervisor","Hospitality Manager","Kitchen Manager","Liquor Establishment Manager","Luncheonette Operator","Lunchroom Operator","Menu Planner","Restaurant General Manager","Restaurant Manager","Restauranteur","Saloon Keeper","Tavern Keeper","Tavern Operator"]
11-9071.00	["Assistant Casino Shift Manager","Baccarat Manager","Bingo Manager","Blackjack Manager","Card Room Manager","Cardroom Manager","Casino Manager","Casino Shift Manager","Craps Manager","Dice Manager","Gaming Director","Gaming Manager","Keno Manager","Mutuel Department Manager","Pai Gow Manager","Pit Manager","Poker Manager","Racing Manager","Slot Manager","Slot Operations Director","Slot Shift Manager","Slots Manager","Sports Betting Manager","Table Games Manager","Table Games Shift Manager"]
11-9072.00	["Amusement Park Manager","Entertainment and Recreation General Manager","Entertainment and Recreation Manager","Entertainment and Recreation Operations Manager","Entertainment and Recreation Planning Manager","Entertainment and Recreation Program Manager","Entertainment and Recreation Project Manager","Entertainment and Recreation Services Manager","Entertainment and Recreation Shift Manager","Entertainment and Recreation Site Manager","Event Coordinator","Events Manager","Park Recreation Manager","Park Superintendent","Park Worker Supervisor","Parks and Recreation Manager","Parks Recreation Coordinator","Parks Recreation Director","Recreation Attendant Supervisor","Recreation Coordinator","Recreation Leader","Recreation Programmer","Recreation Supervisor","Rides Supervisor","Theme Park Manager","Venue Manager"]
11-9081.00	["Accommodations General Manager","Accommodations Manager","Agricultural Labor Camp Manager","Apartment Coordinator","Bed and Breakfast Innkeeper","Boardinghouse Keeper","Camp Director","Campground Manager","Director of Rooms","Dude Ranch Manager","Front Desk Manager","Front Office Director","Front Office Manager","Guest Relations Manager","Guest Service Manager","Guest Services Manager","Hospitality Manager","Hotel Director","Hotel General Manager","Hotel Manager","Hotel Operation Manager","Hotel Operations Manager","Hotel Superintendent","Hotels General Manager","Housing Director","Innkeeper","Landlady","Lodging Facilities Manager","Motel Keeper","Motel Manager","Motel Operator","Motor Hotel Manager","Night Manager","Recreational Resort Manager","Recreational Vehicle Resort Manager","Resident Manager","Resort Keeper","Resort Manager","Revenue Manager","Rooming House Operator","Rooms Director","Tourist Cabin Keeper","Tourist Home Keeper"]
